product_code,name_ko,name_en,name_ru,barcode,brand,volume,pcs_per_carton,width_cm,height_cm,depth_cm,cbm,weight_kg,hscode,status
CCSPT01,"세라클리닉 더마이드 4.0 보태니컬 샴푸 100ml","CERACLINIC Dermaid 4.0 Botanical Shampoo 100ml","[CERACLINIC] Шампунь для волос РАСТИТЕЛЬНЫЙ Dermaid 4.0 Botanical Shampoo, 100 мл",8802929004914,CERACLINIC,,80,80.00,,,,,3305.10-0000,active
CCVF000,"세라클리닉 더마이드 4.0 볼륨 픽서 프로테인 퀀치 200ml","CERACLINIC DERMAID 4.0 Volume Fixer Protein Quench 200ml","[CERACLINIC] Спрей для объема DERMAID 4.0 Volume Fixer Protein Quench, 200 мл",8802929010335,CERACLINIC,,60,60.00,13.00,14.00,0.033660,,3305.90-9000,active
FJAP001,"프레쥬 레틴 콜라겐 3D 코어 앰플","Fraijour Retin-Collagen 3D Core Ampoule 50ml","[Fraijour] Кремовая сыворотка для лица КОЛЛАГЕН/РЕТИНОЛ Retin-Collagen 3D Core Ampoule, 50 мл",8802929008943,FRAIJOUR,,104,104.00,12.80,13.80,0.033660,,3304.99-1000,active
FJAP003,"프레주 프로 모이스처 B-5 히알루 앰플 50ml","Fraijour Pro Moisture B5-Hyalu Ampoule 50ml","[Fraijour] Концентрированная сыворотка для глубокого увлажнения кожи Pro Moisture B5-Hyalu Ampoule, 50 мл",8802929010403,FRAIJOUR,,96,96.00,10.05,11.50,0.023560,,3304.99-1000,active
FJAP004,"프레쥬 유주 허니 올리고 써지 앰플 50ml","Fraijour Yuzu Honey Oligo Surge Ampoule 50ml","[Fraijour] Концентрированная сыворотка для сияния кожи Yuzu Honey Oligo Surge Ampoule, 50 мл",8802929010427,FRAIJOUR,,96,96.00,10.05,11.50,0.023560,,3304.99-1000,active
FJAP005,"프레쥬 어성초 블레미쉬 리뉴 앰플 50ml","Fraijour Heartleaf Blemish Renew Ampoule 50ml","[Fraijour] Концентрированная сыворотка для чувствительной и проблемной кожи Heartleaf Blemish Renew Ampoule, 50 мл",8802929010410,FRAIJOUR,,96,96.00,10.05,11.50,0.023560,,3304.99-1000,active
FJAP007,"프레쥬 바이옴 5-락토 트리트먼트 앰플 50ml","Fraijour Biome 5-Lacto Treatment Ampoule 50ml","[Fraijour] Biome 5-Lacto Treatment Ampoule Сыворотка для лица ПРОБИОТИКИ, 50 мл",8802929008615,FRAIJOUR,,96,96.00,10.40,11.40,0.023330,,3304.99-1000,active
FJBB001,"프레쥬 레틴 콜라겐 3D 코어 블레미쉬 밤  SPF 30 PA+++ 50g","Fraijour Retin-Collagen 3D Core Blemish Balm SPF 30 PA+++ 50g","[Fraijour] ВВ-крем для лица КОЛЛАГЕН / РЕТИНАЛЬ Retin-Collagen 3D Core Blemish Balm SPF 30 PA+++, 50 мл",8802929009896,FRAIJOUR,,96,96.00,7.00,8.00,0.033660,,3304.99-1000,active
FJBBP01,"프레쥬 레틴 콜라겐 3D 코어 블레미쉬 밤  SPF 30 PA+++ 2g","Fraijour Retin-Collagen 3D Core Blemish Balm SPF 30 PA+++ 2g","[Fraijour] ВВ-крем для лица КОЛЛАГЕН / РЕТИНАЛЬ Retin-Collagen 3D Core Blemish Balm SPF 30 PA+++, 2 мл",8802929010151,FRAIJOUR,,1000,1000.00,2.70,3.70,0.005540,,3304.99-1000,active
FJBF001,"프레쥬 인진쑥 버블폼 클렌져 200ml","Fraijour Original Artemisia Bubble Facial Foam","[Fraijour] Пенка для умывания РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Artemisia Bubble Facial Foam, 200 мл",8802929004297,FRAIJOUR,,70,70.00,18.60,19.60,0.037870,,3401.30-0000,active
FJCB001,"프레쥬 유쥬 허니 올 클렌징 밤 50ml","Fraijour Yuzu Honey All Cleansing Balm 50ml","[Fraijour] Гидрофильный бальзам для лица ПРОПОЛИС Yuzu Honey All Cleansing Balm, 50 мл",8802929006901,FRAIJOUR,,54,54.00,6.80,7.80,0.025200,,3304.99-1000,active
FJCB002,"프레쥬 프로 모이스처 엔자임 클렌징 밤 110ml","Fraijour Pro Moisture Enzyme Cleansing Balm 110ml","[Fraijour] Гидрофильный бальзам с энзимами для очищения кожи Pro Moisture Enzyme Cleansing Balm, 110 мл",8802929010571,FRAIJOUR,,60,60.00,10.20,11.20,0.026100,,3304.99-1000,active
FJCL001,"프레쥬 프로 모이스처 버블 클렌저 200g","Fraijour Pro Moisture Bubble Cleanser 200g","[Fraijour] Увлажняющая нежная пенка для лица Pro Moisture Bubble Cleanser, 200 мл",8802929010199,FRAIJOUR,,70,70.00,18.60,19.60,0.037870,,3401.30-0000,active
FJCO001,"프레쥬 오리지날 허브 자연약쑥 클렌징 오일 210ml","Frijour Original Herb Wormwood Cleansing Oil 210ml","[Fraijour] Гидрофильное масло для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Cleansing Oil, 210 мл",8802929007892,FRAIJOUR,,60,60.00,14.80,15.80,0.037870,,3304.99-1000,active
FJCO002,"프레쥬 어성초 포어 멜팅 클렌징 오일 210ml","Fraijour Heartleaf Pore Melting Cleansing Oil 210ml","[Fraijour] Гидрофильное масло для чувствительной кожи с хауттюйнией Heartleaf Pore Melting Cleansing Oil, 210 мл",8802929010267,FRAIJOUR,,60,60.00,14.80,15.80,0.037870,,3304.99-1000,active
FJCP001,"프레쥬 자연약쑥 효소 클렌징 팩","Fraijour Original Wormwood Enzyme Cleansing Pack 80g","[Fraijour] Энзимная маска-пудра для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Wormwood Enzyme Cleansing Pack, 80 гр",8802929009483,FRAIJOUR,,70,70.00,8.20,9.20,0.028500,,3401.30-0000,active
FJCR002,"프레쥬 자연약쑥 수분크림 100g","Fraijour mugwort moisturizing cream","[Fraijour] Крем для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Calming Watery Cream, 100 мл",8802929004822,FRAIJOUR,,60,60.00,10.80,11.80,0.026100,,3304.99-1000,active
FJCR003,"프레쥬 프로 모이스처 인텐시브 크림 50ml","Fraijour Pro-moisture intensive cream 50g","[Fraijour] Крем для лица УВЛАЖНЯЮЩИЙ Pro-moisture intensive cream, 50 мл",8802929005430,FRAIJOUR,,105,105.00,11.20,12.20,0.033660,,3304.99-1000,active
FJCR004,"프레쥬 유쥬 허니 인리치드 크림 50ml","Fraijour Yuzu Honey Enriched Cream 50ml","[Fraijour] Крем для лица ПРОПОЛИС Yuzu Honey Enriched Cream, 50 мл",8802929006918,FRAIJOUR,,105,105.00,11.20,12.20,0.033660,,3304.99-1000,active
FJCR005,"프레쥬 어성초 블레미쉬 크림 100ml","Fraijour Heartleaf Blemish Moisture Cream 100ml","[Fraijour] Крем для лица ХАУТТЮЙНИЯ Heartleaf Blemish Moisture Cream, 100 мл",8802929007861,FRAIJOUR,,60,60.00,10.80,11.80,0.026100,,3304.99-1000,active
FJCR006,"프레쥬 레틴 콜라겐 3D 코어 크림 50ml","Fraijour Retin-Collagen 3D Core Cream 50ml","[Fraijour] Крем для лица КОЛЛАГЕН / РЕТИНОЛ Retin-Collagen 3D Core Cream, 50 мл",8802929008073,FRAIJOUR,,90,90.00,10.50,11.50,0.033660,,3304.99-1000,active
FJCR007,"프레쥬 바이옴 5-락토 밸런스 모이스쳐라이져 50ml","Fraijour Biome 5-Lacto Balance Moisturizer 50ml","[Fraijour] Biome 5-Lacto Balance Moisturizer Крем для лица ПРОБИОТИКИ, 50 мл",8802929008622,FRAIJOUR,,90,90.00,8.30,9.30,0.033660,,3304.99-1000,active
FJCR008,"프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림 50ml","Fraijour Alchemic Ginsenoside Intense Firming Cream 50ml","[Fraijour] Антивозрастной крем для лица КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Intense Firming Cream, 50 мл",8802929009865,FRAIJOUR,,60,60.00,9.20,10.20,0.026100,,3304.99-1000,active
FJCR009,"프레쥬 프로 모이스처 세라토 에어리 크림 50ml","Fraijour Pro Moisture Cerato Airy Cream 50ml","[Fraijour] Увлажняющий муссовый крем для лица Pro Moisture Cerato Airy Cream, 50 мл",8802929010250,FRAIJOUR,,60,60.00,9.00,10.20,0.026100,,3304.99-1000,active
FJCRM02,"프레쥬 자연약쑥 수분크림 10g","Fraijour mugwort moisturizing cream 10ml","[Fraijour] Крем для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Calming Watery Cream, 10 мл",8802929007960,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM03,"프레쥬 프로 모이스처 인텐시브 크림 10ml","Fraijour Pro-moisture intensive cream 10ml","[Fraijour] Крем для лица УВЛАЖНЯЮЩИЙ Pro-moisture intensive cream, 10 мл",8802929007977,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM04,"프레쥬 유쥬 허니 인리치드 크림 10ml","Fraijour Yuzu Honey Enriched Cream 10ml","[Fraijour] Крем для лица ПРОПОЛИС Yuzu Honey Enriched Cream, 10 мл",8802929008288,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM05,"프레쥬 어성초 블레미쉬 크림 10ml","Fraijour Heartleaf Blemish Moisture Cream 10ml","[Fraijour] Крем для лица ХАУТТЮЙНИЯ Heartleaf Blemish Moisture Cream, 10 мл",8802929008295,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM06,"프레쥬 레틴 콜라겐 3D 코어 크림 10ml","Fraijour Retin-Collagen 3D Core Cream 10ml","[Fraijour] Крем для лица КОЛЛАГЕН / РЕТИНОЛ Retin-Collagen 3D Core Cream, 10 мл",8802929008202,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM08,"프레쥬 알케믹 진세노사이드 인텐스 퍼밍 크림 10ml","Fraijour Alchemic Ginsenoside Intense Firming Cream 10ml","[Fraijour] Антивозрастной крем для лица КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Intense Firming Cream, 10 мл",8802929009780,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCRM09,"프레쥬 프로 모이스처 세라토 에어리 크림 10ml","Fraijour Pro Moisture Cerato Airy Cream 10ml","[Fraijour] Увлажняющий муссовый крем для лица Pro Moisture Cerato Airy Cream, 10 мл",8802929010205,FRAIJOUR,,500,500.00,7.00,8.00,0.033660,,3304.99-1000,active
FJCW001,"프레쥬 자연약쑥 클렌징 워터 300ml","Fraijour mugwort cleansing water","[Fraijour] Жидкость для снятия макияжа РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Cleansing Water, 300 мл",8802929002194,FRAIJOUR,,40,40.00,14.50,15.50,0.033660,,3401.30-0000,active
FJEC001,"프레쥬 유주 허니 캡슐 아이크림 20ml","FRAIJOUR Yuzu Honey Capsule Eye Cream 20ml","[Fraijour] Крем для области вокруг глаз КАПСУЛЬНЫЙ/ПРОПОЛИС Yuzu Honey Capsule Eye Cream, 15 мл",8802929008813,FRAIJOUR,,168,168.00,6.50,7.50,0.033660,,3304.99-1000,active
FJEC006,"프레쥬 레틴 콜라겐 3D 코어 아이크림 15ml","Fraijour Retin-Collagen 3D Core Eye Cream 15ml","[Fraijour] Крем для области вокруг глаз КОЛЛАГЕН / РЕТИНОЛ Retin-Collagen 3D Core Eye Cream, 15 мл",8802929008066,FRAIJOUR,,168,168.00,6.40,6.90,0.033660,,3304.99-1000,active
FJES001,"프레쥬 알케믹 진세노사이드 컨투어 아이 세럼 25ml","Fraijour Alchemic Ginsenoside Contour Eye Serum 25ml","[Fraijour] Антивозрастная сыворотка для кожи вокруг глаз КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Contour Eye Serum, 25 мл",8802929009872,FRAIJOUR,,168,168.00,7.80,8.80,0.033660,,3304.99-1000,active
FJEX001,"프레쥬 인진쑥 에센스 미스트 115ml","Fraijour Original Artemisia Essence Mist","[Fraijour] Эссенция для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Artemisia Essence, 115 мл",8802929004273,FRAIJOUR,,96,96.00,16.40,17.40,0.033660,,3304.99-1000,active
FJEX002,"프레쥬 어성초 인테시브 카밍 에센스 120ml","Fraijour Heartleaf Intensive Calming Essence 120ml","[Fraijour] Эссенция для лица ХАУТТЮЙНИЯ Heartleaf Intensive Calming Essence, 120 мл",8802929007830,FRAIJOUR,,84,84.00,13.60,14.60,0.033660,,3304.99-1000,active
FJEX003,"프레쥬 오리지날 자연약쑥 파하 필링 에센스 120ml","Fraijour Original Wormwood PHA Peeling Essence 120ml","[Fraijour] Пилинг-эссенция для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ/PHA-КИСЛОТЫ Original Wormwood PHA Peeling Essence, 120 мл",8802929007854,FRAIJOUR,,84,84.00,13.44,14.44,0.033660,,3304.99-1000,active
FJFC002,"프레쥬 자연약쑥 클렌징폼 150ml","Fraijour original herb wormwood cleansing foam","[Fraijour] Пенка для умывания РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Cleansing Foam, 150 мл",8802929883564,FRAIJOUR,,54,54.00,10.00,11.00,0.033660,,3401.30-0000,active
FJFC003,"프레쥬 어성초 블레미쉬 클렌징 폼 250ml","Fraijour Heartleaf Blemish pH Balanced Cleansing Foam 250ml","[Fraijour] Пенка для умывания ХАУТТЮЙНИЯ Heartleaf Blemish pH Balanced Cleansing Foam, 250 мл",8802929007953,FRAIJOUR,,47,47.00,11.80,12.80,0.037290,,3401.30-0000,active
