id,parent_org_id,org_type,code,name,name_en,country_code,currency_code,status
602f6d54-e61f-959d-29c7-77f12e45a08e,6ac01e51-d22d-fbbb-1a9a-9b406c7d93c2,buyer_company,DIRECT_MY_말레이시아,직수출 말레이시아,Direct Export 말레이시아,MY,USD,active
2de3f16e-dc7a-3e47-8b7e-f07369a47e86,,buyer_country,MM,미얀마,Myanmar,MM,USD,active
d43e71ed-3594-ac08-6b5f-6cae73e2b401,2de3f16e-dc7a-3e47-8b7e-f07369a47e86,buyer_company,DIRECT_MM_미얀마,직수출 미얀마,Direct Export 미얀마,MM,USD,active
9abaa8e6-6739-f109-35eb-e750f8a70d6d,,buyer_country,VN,베트남,Vietnam,VN,USD,active
f85e6144-7da8-33a1-4098-1b8b657cebcd,9abaa8e6-6739-f109-35eb-e750f8a70d6d,buyer_company,DIRECT_VN_베트남,직수출 베트남,Direct Export 베트남,VN,USD,active
30099b4e-4251-ebe0-e685-b1f10d032f75,9abaa8e6-6739-f109-35eb-e750f8a70d6d,buyer_company,DIRECT_VN_베트남2 MYCO,직수출 베트남2 MYCO,Direct Export 베트남2 MYCO,VN,USD,active
a7011d25-f671-26a9-6e51-5037a1a91243,,buyer_country,SK,슬로바키아,Slovakia,SK,EUR,active
16e5992e-dac3-53cf-b596-f67e668239f8,a7011d25-f671-26a9-6e51-5037a1a91243,buyer_company,DIRECT_SK_슬로바키아,직수출 슬로바키아,Direct Export 슬로바키아,SK,USD,active
e3522c0c-904c-db41-feb6-e149c47f2d93,,buyer_country,UA,우크라이나,Ukraine,UA,USD,active
a5c2c374-daf8-94e7-8ca4-071ce9581dd6,e3522c0c-904c-db41-feb6-e149c47f2d93,buyer_company,DIRECT_UA_우크라이나 ICOS,직수출 우크라이나 ICOSMO,Direct Export 우크라이나 ICOSMO,UA,USD,active
b34f4280-d73a-6b6b-0904-f9b19e7b2be4,e3522c0c-904c-db41-feb6-e149c47f2d93,buyer_company,DIRECT_UA_우크라이나,직수출 우크라이나,Direct Export 우크라이나,UA,USD,active
f6c547d4-9e0c-4760-9740-145a1f21288b,e3522c0c-904c-db41-feb6-e149c47f2d93,buyer_company,DIRECT_UA_우크라이나KBT,직수출 우크라이나KBT,Direct Export 우크라이나KBT,UA,USD,active
64fa56ea-3856-e5b9-1bf6-639b9f1e0c35,,buyer_country,CN,중국,China,CN,USD,active
00ffb39b-28d7-49f8-00d7-2445e61e9c77,64fa56ea-3856-e5b9-1bf6-639b9f1e0c35,buyer_company,DIRECT_CN_위해방정,직수출 위해방정,Direct Export 위해방정,CN,USD,active
7019163b-3563-c569-18b4-331c0abd66bb,,buyer_country,EU,유럽,Europe,EU,EUR,active
5497275d-678c-47d2-c493-a1c193e196ec,7019163b-3563-c569-18b4-331c0abd66bb,buyer_company,DIRECT_EU_유럽 ICOSMO),직수출 유럽 ICOSMO),Direct Export 유럽 ICOSMO),EU,USD,active
3b5407fa-18de-3305-932b-77b7f7ae6c61,7019163b-3563-c569-18b4-331c0abd66bb,buyer_company,DIRECT_EU_유럽,직수출 유럽,Direct Export 유럽,EU,USD,active
53115b99-10d9-154a-85e3-f07783b03f9b,,buyer_country,KH,캄보디아,Cambodia,KH,USD,active
a0917f72-8316-f74e-f48a-6303dcc0d04e,53115b99-10d9-154a-85e3-f07783b03f9b,buyer_company,DIRECT_KH_캄보디아,직수출 캄보디아,Direct Export 캄보디아,KH,USD,active
538ee222-451d-02dd-ce9d-56b3c14b7b00,,buyer_country,AU,호주,Australia,AU,AUD,active
a839f256-6f10-abb0-dfa0-b43481adb724,538ee222-451d-02dd-ce9d-56b3c14b7b00,buyer_company,DIRECT_AU_호주,직수출 호주,Direct Export 호주,AU,USD,active
79e79cda-0dd3-97f6-c570-05b605c6751e,1bafb688-1285-25ed-a31b-20aaa24d3951,buyer_company,AGT_Kloud,클라우드121 (Kloud121),Kloud,KR,KRW,active
f0160f7a-d29f-a117-c64d-49ee7d7b9cba,1bafb688-1285-25ed-a31b-20aaa24d3951,buyer_company,AGT_tovplan Co.,"토브플랜주식회사(tovplan Co.,Ltd.)",tovplan Co.,KR,KRW,active
3b246a52-7cce-23f5-599f-227fb9134994,1bafb688-1285-25ed-a31b-20aaa24d3951,buyer_company,AGT_티엠코리아무역,티엠코리아무역,티엠코리아무역,KR,KRW,active
