product_code,image_url,display_order,is_thumbnail
BDFS001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BDFS001/BDFS001_1.jpg,0,true
BDFS002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BDFS002/BDFS002_1.jpg,0,true
BDFS004,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BDFS004/BDFS004_1.jpg,0,true
BDMK001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BDMK001/BDMK001_1.jpg,0,true
BRSCN10,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BRSCN10/BRSCN10_1.jpg,0,true
BTBC004,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC004/BTBC004_1.jpg,0,true
BTBC005,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC005/BTBC005_1.jpg,0,true
BTBC006,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC006/BTBC006_1.jpg,0,true
BTBC007,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC007/BTBC007_1.jpg,0,true
BTBC008,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC008/BTBC008_1.jpg,0,true
BTBC009,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC009/BTBC009_1.jpg,0,true
BTBC010,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBC010/BTBC010_1.jpg,0,true
BTBCM05,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBCM05/BTBCM05_1.jpg,0,true
BTBCM09,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBCM09/BTBCM09_1.jpg,0,true
BTBO001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBO001/BTBO001_1.jpg,0,true
BTBO002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBO002/BTBO002_1.jpg,0,true
BTBO003,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBO003/BTBO003_1.jpg,0,true
BTBS001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBS001/BTBS001_1.jpg,0,true
BTBS002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBS002/BTBS002_1.jpg,0,true
BTBS003,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBS003/BTBS003_1.jpg,0,true
BTBS004,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBS004/BTBS004_1.jpg,0,true
BTBS005,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTBS005/BTBS005_1.jpg,0,true
BTCR001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTCR001/BTCR001_1.jpg,0,true
BTCR001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTCR001/BTCR001_2.jpg,1,false
BTCR003,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTCR003/BTCR003_1.jpg,0,true
BTDM001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTDM001/BTDM001_1.jpg,0,true
BTDM002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTDM002/BTDM002_1.jpg,0,true
BTDM003,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTDM003/BTDM003_1.jpg,0,true
BTPF001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTPF001/BTPF001_1.jpg,0,true
BTPF002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTPF002/BTPF002_1.jpg,0,true
BTPP001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTPP001/BTPP001_1.jpg,0,true
BTSB001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSB001/BTSB001_1.jpg,0,true
BTSB002,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSB002/BTSB002_1.jpg,0,true
BTSB003,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSB003/BTSB003_1.jpg,0,true
BTSB004,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSB004/BTSB004_1.jpg,0,true
BTSB005,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSB005/BTSB005_1.jpg,0,true
BTSM001,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTSM001/BTSM001_1.jpg,0,true
BTST2T1,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/product-images/BTST2T1/BTST2T1_1.jpg,0,true
