product_id,name,spec,bal_qty,warehouse_code,barcode,box_qty
MLDM032,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 네트와제","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 네트와제 [300 ml]",1402,W104,,1
MLDM033,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 테르","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 테르 [300 ml]",1396,W104,,1
MLDM034,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 플로르","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 플로르 [300 ml]",613,W104,,1
MLDM035,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 오브","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 오브 [300 ml]",722,W104,,1
MLDM036,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 피브완로즈","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 피브완로즈 [300 ml]",1320,W104,,1
MLDM3T1,"미미로린스 드레스 퍼퓸 모먼트 블러썸 3종 세트","미미로린스 드레스 퍼퓸 모먼트 블러썸 3종 세트 [300ml*3 (퓨어그린/ 런드로맷/ 어도러블)]",-1,W104,,1
MLDMA01,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 프리지아로맨스","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 프리지아로맨스 [200ml]",-1,W104,,1
MLDMA05,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 프레쉬라임","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 프레쉬라임 [200ml]",-25,W104,,1
MLDMA08,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 블랙베리","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 블랙베리 [200ml]",110,W104,,1
MLDMA12,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 네트와제",200ml,0,W104,,1
MLDMA15,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 플로레종","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 플로레종 [200ml]",-133,W104,,1
MLDMA20,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피치플로랄","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피치플로랄 [200ml]",-168,W104,,1
MLDMA21,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 블리스드","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 블리스드 [200ml]",65,W104,,1
MLDMB01,"미미로린스 드레스 퍼퓸 미스트 - 프리지아 로맨스","미미로린스 드레스 퍼퓸 미스트 - 프리지아 로맨스 [500ml]",1201,W104,,1
MLDMB02,"미미로린스 드레스 퍼퓸 미스트 - 머스크엣머스크","미미로린스 드레스 퍼퓸 미스트 - 머스크엣머스크 [500ml]",847,W104,,1
MLDMB04,"미미로린스 드레스 퍼퓸 미스트 - 주스 드 시트론","500 ml",0,W104,,1
MLDMB05,"미미로린스 드레스 퍼퓸 미스트 - 프레쉬 라임","미미로린스 드레스 퍼퓸 미스트 - 프레쉬 라임 [500ml]",-22,W104,,1
MLDMB06,"미미로린스 드레스 퍼퓸 미스트 - 프렌치 블러썸","미미로린스 드레스 퍼퓸 미스트 - 프렌치 블러썸 [500ml]",13,W104,,1
MLDMB07,"미미로린스 드레스 퍼퓸 미스트 - 아로마틱 시트러스","미미로린스 드레스 퍼퓸 미스트 - 아로마틱 시트러스 [500ml]",-2,W104,,1
MLDMB08,"미미로린스 드레스 퍼퓸 미스트 - 블랙베리","미미로린스 드레스 퍼퓸 미스트 - 블랙베리 [500ml]",4,W104,,1
MLDMB09,"미미로린스 드레스 퍼퓸 미스트 - 스파클링 사케","미미로린스 드레스 퍼퓸 미스트 - 스파클링 사케 [500ml]",278,W104,,1
MLDMB10,"미미로린스 드레스 퍼퓸 미스트 - 화이트 코튼","미미로린스 드레스 퍼퓸 미스트 - 화이트 코튼 [500ml]",1085,W104,,1
MLDMB12,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 네트와제","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 네트와제 [500ml]",-1,W104,,1
MLDMB13,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 인헤븐","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 인헤븐 [500ml]",-35,W104,,1
MLDMB19,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 모닝듀","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 모닝듀 [500ml]",-66,W104,,1
MLDMB20,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피치플로랄","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피치플로랄 [500ml]",-9,W104,,1
MLDMB22,"미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피브완로즈 피처링 블러썸 (500ML)","미미로린스 드레스 퍼퓸 미스트 딥퍼퓸 레이블- 피브완로즈 피처링 블러썸 (500ML) [500ml]",-13,W104,,1
MLDMB26,"미미로린스 드레스 퍼퓸 모먼트 블러썸- 퓨어그린","미미로린스 드레스 퍼퓸 모먼트 블러썸- 퓨어그린 [500ml]",148,W104,,1
MLDMB27,"미미로린스 드레스 퍼퓸 모먼트 블러썸- 런드로맷",500ml,0,W104,,1
MLDMB28,"미미로린스 드레스 퍼퓸 모먼트 블러썸- 어도러블",500ml,0,W104,,1
MLDMB29,"미미로린스 드레스 퍼퓸 모먼트 레스트- 로즈부쉬","미미로린스 드레스 퍼퓸 모먼트 레스트- 로즈부쉬 [500ml]",-9,W104,,1
MLDMB30,"미미로린스 드레스 퍼퓸 모먼트 레스트- 가든파티",500ml,0,W104,,1
MLDMB31,"미미로린스 드레스 퍼퓸 모먼트 레스트- 레몬트리","미미로린스 드레스 퍼퓸 모먼트 레스트- 레몬트리 [500ml]",-21,W104,,1
MLDMT32,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 네트와제 (선물세트)","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 네트와제 (선물세트) [300 ml 본품 외]",218,W104,,1
MLDMT33,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 테르 (선물세트)","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 테르 (선물세트) [300 ml 본품 외]",196,W104,,1
MLDMT36,"미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 피브완로즈 (선물세트)","미미로린스 드레스 퍼퓸 미스트 딥 퍼퓸- 피브완로즈 (선물세트) [300 ml 본품 외]",158,W104,,1
MLHA001,"미미로린스 씬트리메인 EFA 프로테인 헤어 앰플- 프리지아 로맨스",120ml,0,W104,,1
MLHA002,"미미로린스 씬트리메인 EFA 프로테인 헤어 앰플- 프레쉬 라임","미미로린스 씬트리메인 EFA 프로테인 헤어 앰플- 프레쉬 라임 [120ml]",-18,W104,,1
